actual_config_differences,baseline_role,baseline_value,cell,difference,inference,library_seed,method,metric,physical_world_id,role,value
"[""observation_config.parameter_delay_seconds""]",oracle,0.1755162508399283,structured/combined/prescribed,-0.002240544097779379,descriptive paired physical world; no crossed confidence interval,11,A,collider_clearance_lower_m,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,parameter_delay,0.17327570674214893
"[""observation_config.parameter_delay_seconds""]",oracle,0.0,structured/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,A,controller_deadline_miss_rate,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,parameter_delay,0.0
"[""observation_config.parameter_delay_seconds""]",oracle,0,navigation/combined/prescribed,0,descriptive paired physical world; no crossed confidence interval,11,F2,actual_collision,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,parameter_delay,0
"[""observation_config.parameter_delay_seconds""]",oracle,0.0,navigation/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,F2,safe_task_completion,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,parameter_delay,0.0
"[""observation_config.parameter_delay_seconds""]",oracle,0.17336526030856134,navigation/combined/prescribed,-0.10326728040058734,descriptive paired physical world; no crossed confidence interval,11,F2,collider_clearance_lower_m,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,parameter_delay,0.07009797990797399
"[""observation_config.parameter_delay_seconds""]",oracle,0.0,navigation/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,F2,controller_deadline_miss_rate,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,parameter_delay,0.0
"[""observation_config.parameter_delay_seconds""]",oracle,0,navigation/combined/prescribed,1,descriptive paired physical world; no crossed confidence interval,11,A,actual_collision,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,parameter_delay,1
"[""observation_config.parameter_delay_seconds""]",oracle,0.0,navigation/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,A,safe_task_completion,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,parameter_delay,0.0
"[""observation_config.parameter_delay_seconds""]",oracle,0.17198413088891082,navigation/combined/prescribed,-0.17276369043173292,descriptive paired physical world; no crossed confidence interval,11,A,collider_clearance_lower_m,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,parameter_delay,-0.0007795595428221147
"[""observation_config.parameter_delay_seconds""]",oracle,0.0,navigation/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,A,controller_deadline_miss_rate,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,parameter_delay,0.0
"[""observation_config.motor_noise_N""]",oracle,0,structured/combined/prescribed,0,descriptive paired physical world; no crossed confidence interval,11,F2,actual_collision,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,motor_noise,0
"[""observation_config.motor_noise_N""]",oracle,0.0,structured/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,F2,safe_task_completion,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,motor_noise,0.0
"[""observation_config.motor_noise_N""]",oracle,0.17295362207970075,structured/combined/prescribed,-0.00333046519458996,descriptive paired physical world; no crossed confidence interval,11,F2,collider_clearance_lower_m,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,motor_noise,0.1696231568851108
"[""observation_config.motor_noise_N""]",oracle,0.0,structured/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,F2,controller_deadline_miss_rate,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,motor_noise,0.0
"[""observation_config.motor_noise_N""]",oracle,0,structured/combined/prescribed,0,descriptive paired physical world; no crossed confidence interval,11,A,actual_collision,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,motor_noise,0
"[""observation_config.motor_noise_N""]",oracle,0.0,structured/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,A,safe_task_completion,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,motor_noise,0.0
"[""observation_config.motor_noise_N""]",oracle,0.1755162508399283,structured/combined/prescribed,-0.005430967105404028,descriptive paired physical world; no crossed confidence interval,11,A,collider_clearance_lower_m,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,motor_noise,0.17008528373452428
"[""observation_config.motor_noise_N""]",oracle,0.0,structured/combined/prescribed,0.0,descriptive paired physical world; no crossed confidence interval,11,A,controller_deadline_miss_rate,world-6f64c6864d1713739f0f3a1f55a064f3b2c16683170a99bdf4ff3b204719de04,motor_noise,0.0
"[""observation_config.motor_noise_N""]",oracle,0,navigation/combined/prescribed,0,descriptive paired physical world; no crossed confidence interval,11,F2,actual_collision,world-3fecd66fb4160ea583cde9a9152861cc32fc5991b18f36e90d5795b74148236e,motor_noise,0
